long,lat,Nationality,Code,Date,Female,Male,Child-Female,Child-Male
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-10-29T00:00:00Z,22,64,,1
108.277199,14.058324,Vietnam,VN,2010-10-29T00:00:00Z,8,31,2,3
69.345116,30.375321,Pakistan,PK,2010-10-29T00:00:00Z,,30,,1
47.481766,29.31166,Kuwait,KW,2010-10-29T00:00:00Z,1,20,,2
,,Other,,2010-10-29T00:00:00Z,127,638,62,63
67.709953,33.93911,Afghanistan,AF,2010-09-30T00:00:00Z,27,1823,21,315
80.771797,7.873054,Sri Lanka,LK,2010-09-30T00:00:00Z,39,524,21,24
53.688046,32.427908,Iran,IR,2010-09-30T00:00:00Z,82,400,37,67
43.679291,33.223191,Iraq,IQ,2010-09-30T00:00:00Z,33,277,19,31
113.921327,-0.789275,Indonesia,ID,2010-09-30T00:00:00Z,3,202,,32
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-09-30T00:00:00Z,21,69,,
95.956223,21.913965,Burma,MM,2010-09-30T00:00:00Z,1,66,1,3
108.277199,14.058324,Vietnam,VN,2010-09-30T00:00:00Z,5,35,2,3
101.975766,4.210484,Malaysia,MY,2010-09-30T00:00:00Z,6,24,,
69.345116,30.375321,Pakistan,PK,2010-09-30T00:00:00Z,,29,,1
,,Other,,2010-09-30T00:00:00Z,102,546,47,53
67.709953,33.93911,Afghanistan,AF,2010-08-27T00:00:00Z,30,1856,25,323
80.771797,7.873054,Sri Lanka,LK,2010-08-27T00:00:00Z,40,576,21,25
53.688046,32.427908,Iran,IR,2010-08-27T00:00:00Z,61,285,28,52
43.679291,33.223191,Iraq,IQ,2010-08-27T00:00:00Z,31,233,21,29
113.921327,-0.789275,Indonesia,ID,2010-08-27T00:00:00Z,1,190,,30
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-08-27T00:00:00Z,20,64,,
95.956223,21.913965,Burma,MM,2010-08-27T00:00:00Z,1,64,1,3
108.277199,14.058324,Vietnam,VN,2010-08-27T00:00:00Z,6,38,2,3
47.481766,29.31166,Kuwait,KW,2010-08-27T00:00:00Z,1,25,,2
69.345116,30.375321,Pakistan,PK,2010-08-27T00:00:00Z,,25,,1
,,Other,,2010-08-27T00:00:00Z,74,421,25,37
67.709953,33.93911,Afghanistan,AF,2010-07-30T00:00:00Z,33,1830,28,346
80.771797,7.873054,Sri Lanka,LK,2010-07-30T00:00:00Z,40,605,22,25
53.688046,32.427908,Iran,IR,2010-07-30T00:00:00Z,59,228,25,57
43.679291,33.223191,Iraq,IQ,2010-07-30T00:00:00Z,31,227,23,38
113.921327,-0.789275,Indonesia,ID,2010-07-30T00:00:00Z,,192,,35
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-07-30T00:00:00Z,16,69,,
95.956223,21.913965,Burma,MM,2010-07-30T00:00:00Z,1,63,1,3
108.277199,14.058324,Vietnam,VN,2010-07-30T00:00:00Z,5,36,2,3
101.975766,4.210484,Malaysia,MY,2010-07-30T00:00:00Z,5,19,,1
69.345116,30.375321,Pakistan,PK,2010-07-30T00:00:00Z,,24,,1
,,Other,,2010-07-30T00:00:00Z,64,419,24,40
67.709953,33.93911,Afghanistan,AF,2010-06-25T00:00:00Z,32,1604,27,290
80.771797,7.873054,Sri Lanka,LK,2010-06-25T00:00:00Z,41,658,20,25
53.688046,32.427908,Iran,IR,2010-06-25T00:00:00Z,41,197,14,35
43.679291,33.223191,Iraq,IQ,2010-06-25T00:00:00Z,21,183,18,27
113.921327,-0.789275,Indonesia,ID,2010-06-25T00:00:00Z,,168,,33
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-06-25T00:00:00Z,21,58,,
95.956223,21.913965,Burma,MM,2010-06-25T00:00:00Z,1,63,1,1
108.277199,14.058324,Vietnam,VN,2010-06-25T00:00:00Z,6,33,2,2
69.345116,30.375321,Pakistan,PK,2010-06-25T00:00:00Z,,18,,
47.481766,29.31166,Kuwait,KW,2010-06-25T00:00:00Z,,9,,1
174.885971,-40.900557,New Zealand,NZ,2010-06-25T00:00:00Z,,10,,
46.199616,5.152149,Somalia,SO,2010-06-25T00:00:00Z,3,3,4,
,,Other,,2010-06-25T00:00:00Z,48,332,21,45
67.709953,33.93911,Afghanistan,AF,2010-05-28T00:00:00Z,32,1447,27,264
80.771797,7.873054,Sri Lanka,LK,2010-05-28T00:00:00Z,42,673,21,25
43.679291,33.223191,Iraq,IQ,2010-05-28T00:00:00Z,15,154,16,15
53.688046,32.427908,Iran,IR,2010-05-28T00:00:00Z,24,129,8,26
113.921327,-0.789275,Indonesia,ID,2010-05-28T00:00:00Z,,158,,26
79.8714212,6.9044087,Peoples Republic Of China,CN,2010-05-28T00:00:00Z,28,79,,
