original-location,ourlocation,date,men,women,children
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-11-19T00:00:00Z,305,183,306
Villawood IDC,Villawood IDC,2010-11-05T00:00:00Z,293,19,
Northern IDC (Darwin),Northern IDC,2010-11-05T00:00:00Z,490,,
Maribyrnong IDC,Maribyrnong IDC,2010-11-05T00:00:00Z,62,10,
Perth IDC,Perth IDC,2010-11-05T00:00:00Z,42,,
Christmas Island IDC,north west point immigration facility,2010-11-05T00:00:00Z,2033,,
Curtin IDC,Curtin IDC,2010-11-05T00:00:00Z,747,,
Scherger IDC,Scherger IDC,2010-11-05T00:00:00Z,291,,
Sydney Immigration Residential Housing,Sydney IRH,2010-11-05T00:00:00Z,13,9,13
Perth Immigration Residential Housing,Perth IRH,2010-11-05T00:00:00Z,2,3,6
Port Augusta Immigration Residential Housing,Port Augusta IRH,2010-11-05T00:00:00Z,19,17,23
Brisbane Immigration Transit Accommodation,Brisbane ITA,2010-11-05T00:00:00Z,19,14,15
Melbourne Immigration Transit Accommodation,Melbourne ITA,2010-11-05T00:00:00Z,1,,39
Community Detention (Mainland),,2010-11-05T00:00:00Z,10,1,6
Community Detention (Christmas Island),,2010-11-05T00:00:00Z,,,
Alternative Temporary Detention in the Community (Mainland),,2010-11-05T00:00:00Z,221,189,365
"Alternative Temporary Detention in the Community
(Christmas Island)",,2010-11-05T00:00:00Z,341,152,369
Villawood IDC,Villawood IDC,2010-10-29T00:00:00Z,302,24,
Northern IDC (Darwin),Northern IDC,2010-10-29T00:00:00Z,474,,
Maribyrnong IDC,Maribyrnong IDC,2010-10-29T00:00:00Z,58,13,
Perth IDC,Perth IDC,2010-10-29T00:00:00Z,51,,
Christmas Island IDC,north west point immigration facility,2010-10-29T00:00:00Z,1963,,
Curtin IDC,Curtin IDC,2010-10-29T00:00:00Z,747,,
Scherger IDC,Scherger IDC,2010-10-29T00:00:00Z,292,,
Sydney Immigration Residential Housing,Sydney IRH,2010-10-29T00:00:00Z,14,9,14
